Gene	Name	Description	Fold Change	Adjusted p-values	Base Mean	log2FoldChange
PA3559		probable nucleotide sugar dehydrogenase	-2.11	0.0017450103	143.31	-1.08
PA3560	fruA	phosphotransferase system transporter fructose-specific IIBC component, FruA	2.73	6.49E-14	747.81	1.45
PA3561	fruK	1-phosphofructokinase	2.62	4.40E-08	432.40	1.39
PA3562	fruI	phosphotransferase system transporter enzyme I, FruI	1.76	0.0010873379	1046.28	0.81
PA3566		conserved hypothetical protein	-1.94	0.0084898979	35.13	-0.96
PA3567		probable oxidoreductase	-2.19	4.76E-08	96.42	-1.13
PA3570	mmsA	methylmalonate-semialdehyde dehydrogenase	-3.38	0.015922606	812.46	-1.76
PA3571	mmsR	transcriptional regulator MmsR	-2.70	1.28E-05	51.11	-1.43
PA3573		probable major facilitator superfamily (MFS) transporter	9.63	2.78E-66	281.83	3.27
PA3575		hypothetical protein	2.48	0.0388834586	98.30	1.31
PA3576		hypothetical protein	-2.14	1.49E-05	94.01	-1.10
PA3579		probable carbohydrate kinase	2.01	0.0005660513	193.15	1.01
PA3582	glpK	glycerol kinase	-1.80	0.0262668168	244.51	-0.85
PA3584	glpD	glycerol-3-phosphate dehydrogenase	-1.62	0.0101385697	125.42	-0.70
PA3585	glpM	membrane protein GlpM	2.74	1.51E-08	75.89	1.46
PA3586		probable hydrolase	2.23	0.008080938	19.37	1.16
PA3589		probable acyl-CoA thiolase	2.49	0.0166191903	11.13	1.31
PA3596		probable methylated-DNA--protein-cysteine methyltransferase	-2.96	2.34E-05	31.99	-1.57
PA3599		probable transcriptional regulator	1.89	8.15E-08	135.07	0.92
PA3601		conserved hypothetical protein	-1.65	0.0197696305	62.61	-0.72
PA3603	dgkA	diacylglycerol kinase	2.22	5.68E-07	164.01	1.15
PA3604	erdR	response regulator ErdR	2.28	5.60E-15	548.93	1.19
PA3605		hypothetical protein	1.97	0.0001950968	106.99	0.98
PA3606		conserved hypothetical protein	2.10	1.89E-07	159.20	1.07
PA3607	potA	polyamine transport protein PotA	11.23	9.97E-19	228.30	3.49
PA3608	potB	polyamine transport protein PotB	18.93	1.62E-10	105.65	4.24
PA3609	potC	polyamine transport protein PotC	11.03	6.62E-08	82.43	3.46
PA3610	potD	polyamine transport protein PotD	6.06	0.0009863362	173.20	2.60
PA3612		conserved hypothetical protein	1.55	0.0007099635	116.57	0.64
PA3614		hypothetical protein	-3.93	5.84E-07	464.36	-1.97
PA3615		hypothetical protein	-5.69	3.48E-38	383.56	-2.51
PA3619		hypothetical protein	-2.82	1.41E-06	32.17	-1.49
PA3620	mutS	DNA mismatch repair protein MutS	2.33	4.25E-10	1076.01	1.22
PA3621	fdxA	ferredoxin I	4.29	2.80E-17	628.81	2.10
PA3622	rpoS	sigma factor RpoS	-13.56	1.35E-51	6052.71	-3.76
PA3623		conserved hypothetical protein	-5.23	1.09E-61	2459.43	-2.39
PA3624	pcm	L-isoaspartate protein carboxylmethyltransferase type II	1.56	0.0022037785	664.40	0.64
PA3625	surE	survival protein SurE	1.64	4.76E-07	686.34	0.71
PA3626		conserved hypothetical protein	1.97	3.62E-06	393.24	0.98
PA3627	ygbB	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	1.51	0.0004056352	351.12	0.60
PA3628		putative esterase	-2.13	0.0001258574	275.48	-1.09
PA3629	adhC	alcohol dehydrogenase class III	-2.41	2.70E-08	483.63	-1.27
PA3636	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	1.87	0.0014470514	1586.60	0.91
PA3637	pyrG	CTP synthase	2.96	3.05E-63	5537.43	1.56
PA3638		conserved hypothetical protein	2.28	6.79E-08	279.06	1.19
PA3639	accA	acetyl-coenzyme A carboxylase carboxyl transferase (alpha subunit)	1.69	0.0010067603	2316.23	0.76
PA3640	dnaE	DNA polymerase III, alpha chain	1.71	0.001724664	2553.76	0.77
PA3641		probable amino acid permease	5.83	2.74E-23	2488.61	2.54
PA3643	lpxB	lipid A-disaccharide synthase	2.34	0.0015689937	547.89	1.22
PA3645	fabZ	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase	1.63	0.0265326207	966.53	0.70
PA3646	lpxD	UDP-3-O-[3-hydroxylauroyl] glucosamine N-acyltransferase	2.58	1.96E-18	2308.72	1.37
PA3647		probable outer membrane protein precursor	2.08	5.93E-16	1941.44	1.06
PA3649	mucP	MucP	1.52	0.0023504158	1216.18	0.61
PA3650	dxr	1-deoxy-d-xylulose 5-phosphate reductoisomerase	3.22	3.12E-05	948.50	1.69
PA3651	cdsA	phosphatidate cytidylyltransferase	3.84	1.44E-07	556.68	1.94
PA3652	uppS	undecaprenyl pyrophosphate synthetase	2.43	9.02E-06	933.22	1.28
PA3653	frr	ribosome recycling factor	1.93	3.51E-05	1601.56	0.95
PA3654	pyrH	uridylate kinase	2.23	8.60E-08	1084.34	1.16
PA3655	tsf	elongation factor Ts	4.97	6.30E-13	11257.73	2.31
PA3656	rpsB	30S ribosomal protein S2	11.70	2.97E-35	33164.73	3.55
PA3664		conserved hypothetical protein	1.96	1.40E-08	358.64	0.97
PA3665		hypothetical protein	2.87	3.57E-13	269.76	1.52
PA3666	dapD	tetrahydrodipicolinate succinylase	2.23	8.65E-12	1277.95	1.15
PA3667		probable pyridoxal-phosphate dependent enzyme	-1.97	1.63E-05	209.44	-0.98
PA3668		conserved hypothetical protein	-3.15	1.32E-05	36.43	-1.66
PA3674		hypothetical protein	-2.88	2.23E-13	250.99	-1.53
PA3676	mexK	MexK	2.25	6.34E-06	359.87	1.17
PA3677	mexJ	MexJ	2.48	5.45E-05	134.41	1.31
PA3679		hypothetical protein	2.26	5.89E-07	195.99	1.18
PA3680		conserved hypothetical protein	2.01	7.86E-07	192.72	1.01
PA3682		hypothetical protein	-1.69	0.0019232978	55.19	-0.76
PA3683		conserved hypothetical protein	2.15	8.26E-08	242.79	1.10
PA3684		hypothetical protein	2.16	1.01E-12	181.85	1.11
PA3685	yeaZ	YeaZ	6.73	2.11E-87	592.36	2.75
PA3686	adk	adenylate kinase	2.23	5.54E-13	3062.21	1.15
PA3687	ppc	phosphoenolpyruvate carboxylase	-4.09	1.94E-50	385.02	-2.03
PA3688		hypothetical protein	-15.73	1.07E-11	79.27	-3.98
PA3689		probable transcriptional regulator	-1.64	0.0010435408	97.66	-0.72
PA3691		hypothetical protein	-14.15	1.62E-12	517.24	-3.82
PA3692	lptF	Lipotoxon F, LptF	-13.60	6.37E-10	692.56	-3.77
PA3695		hypothetical protein	-1.61	0.0005953085	166.05	-0.69
PA3696		conserved hypothetical protein	-3.82	5.04E-18	159.42	-1.93
PA3697		hypothetical protein	-4.36	5.19E-38	384.73	-2.12
PA3698		hypothetical protein	-2.19	1.50E-09	234.98	-1.13
PA3699		probable transcriptional regulator	-2.10	5.99E-18	238.85	-1.07
PA3700	lysS	lysyl-tRNA synthetase	2.85	1.44E-08	2657.06	1.51
PA3711		probable transcriptional regulator	-1.92	0.0031692647	62.76	-0.94
PA3712		hypothetical protein	-6.18	1.50E-21	351.50	-2.63
PA3713	spdH	spermidine dehydrogenase, SpdH	6.37	2.92E-37	313.04	2.67
PA3715		hypothetical protein	-1.61	0.0017545773	133.09	-0.69
PA3716		hypothetical protein	1.93	0.0013767219	2226.11	0.94
PA3720		hypothetical protein	1.88	0.0024349775	54.20	0.91
PA3721	nalC	NalC	1.69	0.0011703638	80.37	0.75
PA3723		probable FMN oxidoreductase	-24.77	1.83E-19	399.04	-4.63
PA3724	lasB	elastase LasB	-27.81	9.05E-16	8902.69	-4.80
PA3725	recJ	single-stranded-DNA-specific exonuclease RecJ	1.54	0.0447012119	388.27	0.63
PA3726		conserved hypothetical protein	1.58	0.0016991307	156.98	0.66
PA3727		hypothetical protein	-1.81	0.0222775023	141.82	-0.86
PA3728		hypothetical protein	-1.74	0.0236178733	1556.46	-0.80
PA3730		hypothetical protein	2.02	0.0002909656	362.82	1.02
PA3731		conserved hypothetical protein	2.07	8.33E-05	973.63	1.05
PA3732		Uncharacterized protein	1.51	0.0397458474	677.80	0.59
PA3733		hypothetical protein	-2.92	9.05E-18	177.01	-1.55
PA3734		hypothetical protein	-8.81	1.59E-16	54.52	-3.14
PA3736	hom	homoserine dehydrogenase	1.89	1.18E-06	1329.14	0.92
PA3739		probable sodium/hydrogen antiporter	-2.35	0.0073556522	195.35	-1.23
PA3740		hypothetical protein	-2.14	0.0010013876	216.90	-1.10
PA3741		hypothetical protein	7.15	1.21E-15	230.32	2.84
PA3742	rplS	50S ribosomal protein L19	7.93	6.42E-25	7128.07	2.99
PA3743	trmD	tRNA (guanine-N1)-methyltransferase	7.12	1.55E-26	8878.79	2.83
PA3744	rimM	16S rRNA processing protein	5.24	5.08E-21	6888.24	2.39
PA3745	rpsP	30S ribosomal protein S16	3.72	1.98E-12	2384.58	1.89
PA3746	ffh	signal recognition particle protein Ffh	2.14	9.62E-13	1877.04	1.10
PA3749		probable major facilitator superfamily (MFS) transporter	3.29	4.67E-09	37.11	1.72
PA3750		hypothetical protein	1.99	0.0002109003	71.29	0.99
PA3751	purT	phosphoribosylglycinamide formyltransferase 2	1.94	9.93E-12	357.94	0.96
PA3753		conserved hypothetical protein	-1.62	1.66E-05	174.51	-0.70
PA3754		hypothetical protein	-1.84	7.18E-09	237.16	-0.88
PA3756		hypothetical protein	1.79	0.0001558723	585.10	0.84
PA3758		probable N-acetylglucosamine-6-phosphate deacetylase	-1.74	0.0381808354	61.18	-0.80
PA3760		N-Acetyl-D-Glucosamine phosphotransferase system transporter	-1.85	0.0013740929	105.36	-0.89
PA3761	nagE	N-Acetyl-D-Glucosamine phosphotransferase system transporter	-1.72	0.0108888134	46.62	-0.78
PA3763	purL	phosphoribosylformylglycinamidine synthase	2.53	1.31E-12	3743.83	1.34
PA3765		hypothetical protein	1.85	0.0004673573	53.58	0.89
PA3766		probable aromatic amino acid transporter	7.84	3.54E-08	595.84	2.97
PA3767		conserved hypothetical protein	2.45	7.96E-18	265.69	1.29
PA3768		probable metallo-oxidoreductase	3.38	6.05E-21	1306.41	1.76
PA3769	guaA	GMP synthase	2.63	1.68E-05	2700.14	1.39
PA3770	guaB	inosine-5'-monophosphate dehydrogenase	4.71	2.31E-56	5722.50	2.24
PA3771		probable transcriptional regulator	-2.99	1.62E-05	38.42	-1.58
PA3776		probable transcriptional regulator	2.03	0.0089006538	32.81	1.02
PA3782		probable transcriptional regulator	1.97	0.0005231991	112.30	0.98
PA3783		hypothetical protein	-1.70	0.0407526004	26.81	-0.77
PA3784		hypothetical protein	2.28	0.0293272488	156.43	1.19
PA3786		hypothetical protein	-2.09	0.0002861005	144.67	-1.06
PA3788		hypothetical protein	-3.20	3.39E-07	66.62	-1.68
PA3790	oprC	Putative copper transport outer membrane porin OprC precursor	-3.61	0.0216352861	504.27	-1.85
PA3791		hypothetical protein	-2.40	0.0447012119	165.06	-1.26
PA3792	leuA	2-isopropylmalate synthase	-2.85	2.55E-52	753.47	-1.51
PA3795		probable oxidoreductase	-5.38	5.06E-13	245.66	-2.43
PA3796		hypothetical protein	-2.10	0.0001007088	271.00	-1.07
PA3797		conserved hypothetical protein	-1.74	3.14E-13	328.55	-0.80
PA3799		conserved hypothetical protein	2.30	0.0001615479	1420.95	1.20
PA3800		conserved hypothetical protein	2.05	0.0002417965	2178.42	1.04
PA3802	hisS	histidyl-tRNA synthetase	1.88	0.0047204966	1383.87	0.91
PA3804		hypothetical protein	2.40	5.10E-09	893.61	1.26
PA3805	pilF	type 4 fimbrial biogenesis protein PilF	3.25	8.71E-36	990.22	1.70
PA3806		conserved hypothetical protein	3.69	1.57E-24	3549.68	1.88
PA3807	ndk	nucleoside diphosphate kinase	3.58	5.83E-11	4410.47	1.84
PA3810	hscA	heat shock protein HscA	1.77	0.015747031	1896.48	0.82
PA3811	hscB	heat shock protein HscB	1.66	0.0384538652	1065.71	0.73
PA3816	cysE	O-acetylserine synthase	1.58	6.99E-07	484.06	0.66
PA3817		probable methyltransferase	1.72	1.01E-08	407.11	0.78
PA3818		extragenic suppressor protein SuhB	12.51	8.83E-142	1698.96	3.65
PA3820	secF	secretion protein SecF	2.10	0.0027898575	1653.44	1.07
PA3821	secD	secretion protein SecD	2.09	0.0008466095	3074.75	1.06
PA3822		conserved hypothetical protein	2.03	9.68E-06	1553.38	1.02
PA3823	tgt	queuine tRNA-ribosyltransferase	9.71	1.89E-39	1250.22	3.28
PA3824	queA	S-adenosylmethionine:trna ribosyltransferase-isomerase	8.46	3.13E-50	639.99	3.08
PA3825		Cyclic-guanylate-specific phosphodiesterase	-1.74	0.0263469701	127.53	-0.80
PA3826		hypothetical protein	1.83	4.27E-05	142.39	0.87
PA3827	lptG	Lipopolysaccharide export system permease protein LptG	5.45	6.75E-40	941.07	2.45
PA3828	lptF	Lipopolysaccharide export system permease protein LptF	2.74	4.92E-21	1006.49	1.45
PA3833		hypothetical protein	-1.97	1.69E-05	183.70	-0.98
PA3837		probable permease of ABC transporter	2.03	5.13E-05	361.48	1.02
PA3838		probable ATP-binding component of ABC transporter	2.25	7.91E-13	414.56	1.17
PA3839		probable sodium:sulfate symporter	1.64	0.0269689314	228.25	0.71
PA3840		conserved hypothetical protein	1.84	0.0118519228	101.30	0.88
PA3844		hypothetical protein	-2.05	0.0134642667	101.48	-1.03
PA3845		probable transcriptional regulator	1.89	0.0002106366	62.97	0.92
PA3846		hypothetical protein	-4.20	5.56E-14	151.94	-2.07
PA3847		conserved hypothetical protein	-2.29	7.97E-08	80.50	-1.20
PA3848		hypothetical protein	-6.16	3.72E-15	255.86	-2.62
PA3850		hypothetical protein	1.93	2.16E-07	636.04	0.95
PA3851		hypothetical protein	-2.63	1.18E-12	102.98	-1.39
PA3852		hypothetical protein	-1.62	1.30E-06	236.63	-0.70
PA3853		probable transferase	2.37	4.61E-28	280.75	1.24
PA3854		hypothetical protein	2.88	2.14E-17	104.50	1.52
PA3856		hypothetical protein	-1.75	0.001665272	107.59	-0.81
PA3857	pcs	phosphatidylcholine synthase	-2.24	5.44E-07	266.67	-1.16
PA3858		probable amino acid-binding protein	-2.98	3.06E-07	309.37	-1.58
PA3860		probable AMP-binding enzyme	-2.94	0.0007504843	238.58	-1.55
PA3862	dauB	NAD(P)H-dependent anabolic L-arginine dehydrogenase, DauB	1.93	0.0002216291	155.19	0.95
PA3863	dauA	FAD-dependent catabolic D-arginine dehydrogenase, DauA	2.12	6.79E-06	136.66	1.08
PA3865.1		pyocin S4 immunity protein	-2.56	9.99E-05	829.12	-1.36
PA3866		Pyocin S4	-4.03	2.03E-10	2903.18	-2.01
PA3867		probable DNA invertase	-3.02	3.22E-05	40.39	-1.59
PA3880		conserved hypothetical protein	4.09	0.0295038105	70.16	2.03
PA3882		hypothetical protein	-2.15	5.97E-05	115.79	-1.11
PA3883		probable short-chain dehydrogenase	1.84	0.0007348302	166.01	0.88
PA3887	nhaP	Na+/H+ antiporter NhaP	1.75	0.0020903346	524.15	0.80
PA3889	opuCC	OpuC ABC transporter, periplasmic substrate-binding protein, OpuCC	-2.43	0.0218318383	56.80	-1.28
PA3891	opuCA	OpuC ABC transporter, ATP-binding protein, OpuCA	-2.28	0.0062945136	76.83	-1.19
PA3892		conserved hypothetical protein	6.13	2.04E-09	117.51	2.62
PA3893		conserved hypothetical protein	2.96	4.59E-06	84.22	1.57
PA3894		probable outer membrane protein precursor	3.63	5.96E-11	166.20	1.86
PA3899	fecI	FecI	3.19	0.000370507	277.05	1.67
PA3900	fecR	FecR	2.36	0.0108086273	186.43	1.24
PA3904		hypothetical protein	-5.60	1.49E-26	472.54	-2.49
PA3905		hypothetical protein	-4.49	1.48E-14	353.54	-2.17
PA3906		hypothetical protein	-4.69	2.00E-09	232.05	-2.23
PA3907		hypothetical protein	-5.69	3.26E-13	459.50	-2.51
PA3908		hypothetical protein	-7.99	9.81E-15	596.24	-3.00
PA3909	eddB	Extracelullar DNA degradation protein, EddB	-2.16	0.0028193115	35.14	-1.11
PA3913		probable protease	6.67	0.0313294647	69.73	2.74
PA3914	moeA1	molybdenum cofactor biosynthetic protein A1	2.42	0.0170014766	19.55	1.27
PA3915	moaB1	molybdopterin biosynthetic protein B1	2.09	0.0005131206	42.16	1.06
PA3916	moaE	molybdopterin converting factor, large subunit	1.68	4.82E-05	136.82	0.75
PA3917	moaD	molybdopterin converting factor, small subunit	1.68	0.0024277718	46.80	0.75
PA3918	moaC	molybdopterin biosynthetic protein C	2.20	3.41E-12	227.42	1.14
PA3919		conserved hypothetical protein	-24.23	1.24E-36	433.55	-4.60
PA3921		probable transcriptional regulator	-3.66	1.51E-07	613.11	-1.87
PA3923		hypothetical protein	-3.39	0.0320958278	2305.43	-1.76
PA3924		probable medium-chain acyl-CoA ligase	-4.55	0.0006896075	597.88	-2.19
PA3925		probable acyl-CoA thiolase	2.13	9.90E-05	684.73	1.09
PA3930	cioA	cyanide insensitive terminal oxidase	-1.96	0.0062078164	449.98	-0.97
PA3932		probable transcriptional regulator	-2.79	0.000353993	19.50	-1.48
PA3933	betT3	BetT3	-1.75	6.58E-06	107.13	-0.81
PA3934		conserved hypothetical protein	-3.53	5.91E-16	559.99	-1.82
PA3936		probable permease of ABC taurine transporter	4.11	0.0084602198	14.04	2.04
PA3940		probable DNA binding protein	-1.58	0.0045940367	2289.13	-0.66
PA3941		hypothetical protein	1.94	8.26E-06	81.26	0.95
PA3943		conserved hypothetical protein	-1.65	0.0006382795	153.77	-0.73
PA3944		conserved hypothetical protein	-2.45	7.03E-06	86.19	-1.29
PA3945		conserved hypothetical protein	-4.23	2.68E-11	240.75	-2.08
PA3947	rocR	RocR	-1.82	0.0014168192	60.64	-0.87
PA3948	rocA1	Two-component response regulator RocA1	-1.52	0.0367869813	262.43	-0.60
PA3949		hypothetical protein	2.26	1.00E-09	262.44	1.17
PA3952		hypothetical protein	-2.97	2.10E-09	131.30	-1.57
PA3956		hypothetical protein	-3.42	6.40E-10	88.80	-1.77
PA3957		probable short-chain dehydrogenase	-4.94	3.02E-10	57.80	-2.31
PA3958		hypothetical protein	-1.57	5.79E-06	197.82	-0.65
PA3959		hypothetical protein	3.44	0.0003633823	74.44	1.78
PA3960		hypothetical protein	5.15	8.50E-06	42.88	2.36
PA3963		probable transporter	-1.66	0.0007841366	64.98	-0.73
PA3964		hypothetical protein	-1.99	0.0217915189	14.46	-0.99
PA3966		hypothetical protein	1.66	0.0256557625	451.64	0.73
PA3967		hypothetical protein	3.69	3.45E-10	210.34	1.88
PA3969		conserved hypothetical protein	-4.64	2.17E-24	138.99	-2.21
PA3970	amn	AMP nucleosidase	-1.88	1.76E-09	318.80	-0.91
PA3971		hypothetical protein	-1.75	0.0109846168	30.33	-0.81
PA3975	thiD	phosphomethylpyrimidine kinase	1.52	2.30E-05	332.33	0.60
PA3976	thiE	thiamin-phosphate pyrophosphorylase	4.75	2.04E-34	461.78	2.25
PA3979		hypothetical protein	5.30	3.10E-26	277.40	2.40
PA3980		conserved hypothetical protein	3.89	3.60E-35	1240.09	1.96
PA3985		conserved hypothetical protein	1.91	0.000443908	130.80	0.93
PA3986		hypothetical protein	-3.08	0.0039099752	101.74	-1.62
PA3988	lptE	LPS-assembly lipoprotein LptE	1.56	1.28E-05	913.24	0.64
PA3990		conserved hypothetical protein	6.12	6.24E-20	96.44	2.61
PA3992	sltB3	SltB3	-1.53	0.0001406281	398.12	-0.61
PA3995		probable transcriptional regulator	-1.74	0.0001339925	103.68	-0.80
PA4003	pbpA	penicillin-binding protein 2	4.19	1.69E-12	722.14	2.07
PA4004		conserved hypothetical protein	13.50	5.64E-98	655.46	3.75
PA4005		conserved hypothetical protein	11.77	1.21E-80	1512.23	3.56
PA4006	nadD1	nicotinate mononucleotide adenylyltransferase NadD1	7.30	9.62E-105	922.84	2.87
PA4007	proA	gamma-glutamyl phosphate reductase	6.48	7.53E-92	2064.65	2.70
PA4010		hypothetical protein	1.71	2.95E-08	330.50	0.77
PA4011		hypothetical protein	3.75	1.37E-54	551.39	1.91
PA4012		hypothetical protein	1.68	0.0010641786	264.75	0.75
PA4013		conserved hypothetical protein	4.18	6.77E-14	253.25	2.07
PA4014		hypothetical protein	3.26	6.70E-10	104.86	1.70
PA4015		conserved hypothetical protein	-12.92	3.07E-17	459.66	-3.69
PA4017		conserved hypothetical protein	-4.47	5.94E-21	255.07	-2.16
PA4018		hypothetical protein	2.17	2.58E-07	67.23	1.12
PA4019	ubiX	UbiX	2.00	1.69E-08	250.38	1.00
PA4020	mpl	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	1.87	5.29E-10	878.82	0.90
PA4021		probable transcriptional regulator	-2.09	3.63E-06	241.20	-1.06
PA4025		probable ethanolamine ammonia-lyase light chain	-2.42	0.016815046	90.70	-1.27
PA4026		probable acetyltransferase	-3.15	4.35E-23	230.77	-1.66
PA4027		hypothetical protein	-5.75	5.20E-25	88.51	-2.52
PA4029		conserved hypothetical protein	3.49	8.67E-18	409.67	1.80
PA4030		conserved hypothetical protein	4.00	7.46E-18	344.30	2.00
PA4031	ppa	inorganic pyrophosphatase	1.55	0.0090739524	2266.84	0.63
PA4033	mucE	MucE	-2.18	0.021068604	12.13	-1.12
PA4036		probable two-component sensor	-2.27	3.88E-07	65.35	-1.18
PA4040		hypothetical protein	-2.63	1.60E-05	44.98	-1.40
PA4041		hypothetical protein	-3.91	5.03E-08	79.65	-1.97
PA4043	ispA	geranyltranstransferase	2.13	3.86E-05	358.29	1.09
PA4044	dxs	1-deoxyxylulose-5-phosphate synthase	1.91	0.0002463684	1131.13	0.93
PA4045		conserved hypothetical protein	5.08	2.79E-11	253.11	2.34
PA4046		hypothetical protein	4.13	4.77E-14	201.86	2.05
PA4047	ribA	GTP cyclohydrolase II	2.62	1.72E-18	545.88	1.39
PA4049		hypothetical protein	1.78	0.0186696521	179.07	0.83
PA4050	pgpA	phosphatidylglycerophosphatase A	2.63	6.85E-05	174.04	1.39
PA4051	thiL	thiamine monophosphate kinase	2.75	4.51E-08	333.53	1.46
PA4052	nusB	NusB protein	2.86	6.76E-11	840.89	1.52
PA4053	ribE	6,7-dimethyl-8-ribityllumazine synthase	2.49	7.88E-17	1152.14	1.32
PA4054	ribB	GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase	2.26	1.74E-13	640.03	1.17
PA4055	ribC	riboflavin synthase alpha chain	2.22	1.03E-07	417.93	1.15
PA4059		hypothetical protein	2.56	3.65E-08	133.87	1.36
PA4060		hypothetical protein	3.47	6.25E-14	116.91	1.80
PA4063		hypothetical protein	-2.09	8.67E-05	45.16	-1.06
PA4069		hypothetical protein	2.22	9.20E-13	870.42	1.15
PA4072		probable amino acid permease	2.07	0.0048481656	24.31	1.05
PA4073		probable aldehyde dehydrogenase	2.14	0.0001793445	54.34	1.09
PA4074		probable transcriptional regulator	-2.53	0.0005430156	16.55	-1.34
PA4078		probable nonribosomal peptide synthetase	-12.26	4.61E-13	158.08	-3.62
PA4090		hypothetical protein	-3.30	3.60E-07	321.25	-1.72
PA4091	hpaA	4-hydroxyphenylacetate 3-monooxygenase large chain	-1.94	0.0014550665	58.63	-0.96
PA4101	bfmR	BfmR	-3.44	7.06E-12	59.38	-1.78
PA4102	bfmS	BfmS	-4.71	1.22E-15	49.72	-2.24
PA4108		cyclic di-GMP phosphodiesterase	-5.47	1.92E-19	109.78	-2.45
PA4110	ampC	beta-lactamase precursor	-1.65	0.0023048365	61.41	-0.72
PA4111		hypothetical protein	-2.69	1.84E-06	35.79	-1.43
PA4112		probable sensor/response regulator hybrid	-4.01	3.65E-08	576.97	-2.00
PA4113		probable major facilitator superfamily (MFS) transporter	5.08	1.34E-18	182.37	2.35
PA4115		conserved hypothetical protein	-2.90	1.76E-28	340.06	-1.53
PA4116	bphO	heme oxygenase, BphO	-2.37	2.69E-06	55.69	-1.25
PA4117	bphP	bacterial phytochrome, BphP	-7.24	4.91E-48	577.06	-2.86
PA4119	aph	aminoglycoside 3'-phosphotransferase type IIb	4.18	1.93E-20	137.35	2.06
PA4124	hpcB	homoprotocatechuate 2,3-dioxygenase	-1.82	0.0270500475	22.20	-0.86
PA4135		probable transcriptional regulator	-2.16	2.55E-07	177.66	-1.11
PA4137		probable porin	4.09	0.0001388591	23.91	2.03
PA4138	tyrS	tyrosyl-tRNA synthetase	16.97	6.79E-65	621.93	4.09
PA4139		hypothetical protein	-6.25	4.32E-07	320.68	-2.64
